workerid,OS,screenH,screenW,Browser
0,"""Windows""",1080,1920,"""Chrome"""
1,"""Linux""",768,1366,"""Chrome"""
2,"""Windows""",768,1366,"""Chrome"""
3,"""Mac""",900,1440,"""Chrome"""
4,"""Windows""",650,1870,"""Chrome"""
5,"""Mac""",900,1440,"""Chrome"""
6,"""Windows""",900,1600,"""Chrome"""
7,"""Windows""",768,1360,"""Chrome"""
8,"""Windows""",1080,1920,"""Chrome"""
9,"""Linux""",846,412,"""Chrome"""
10,"""Mac""",1080,1920,"""Chrome"""
11,"""Windows""",720,1280,"""Chrome"""
12,"""Windows""",1024,1280,"""Chrome"""
13,"""Windows""",1080,1920,"""Chrome"""
14,"""Windows""",1080,1920,"""Firefox"""
15,"""Linux""",732,412,"""Chrome"""
16,"""Windows""",1080,1920,"""Chrome"""
17,"""Windows""",720,1280,"""Firefox"""
18,"""Mac""",800,1280,"""Chrome"""
19,"""Windows""",720,1280,"""Chrome"""
20,"""Windows""",1080,1920,"""Chrome"""
21,"""Windows""",1080,1920,"""Mozilla"""
22,"""Windows""",768,1366,"""Chrome"""
23,"""Windows""",900,1440,"""Chrome"""
24,"""Windows""",900,1440,"""Firefox"""
25,"""Windows""",1206,2144,"""Firefox"""
26,"""Windows""",1080,1920,"""Chrome"""
27,"""Windows""",1080,1920,"""Chrome"""
28,"""Windows""",768,1366,"""Chrome"""
29,"""Windows""",1080,1920,"""Chrome"""
30,"""Windows""",720,1280,"""Firefox"""
31,"""Windows""",864,1536,"""Firefox"""
32,"""Mac""",900,1440,"""Chrome"""
33,"""iPhone/iPod""",568,320,"""Safari"""
34,"""Windows""",1080,1920,"""Chrome"""
35,"""Windows""",768,1366,"""Chrome"""
36,"""Windows""",900,1600,"""Firefox"""
37,"""Windows""",1200,1920,"""Chrome"""
38,"""Windows""",1080,1920,"""Chrome"""
39,"""Windows""",768,1366,"""Chrome"""
40,"""Windows""",720,1280,"""Chrome"""
41,"""Windows""",768,1366,"""Chrome"""
42,"""Windows""",900,1600,"""Chrome"""
43,"""Windows""",768,1366,"""Chrome"""
44,"""Mac""",800,1280,"""Chrome"""
45,"""Windows""",768,1366,"""Chrome"""
46,"""Windows""",768,1360,"""Chrome"""
47,"""Windows""",768,1366,"""Chrome"""
48,"""Mac""",900,1440,"""Safari"""
49,"""Windows""",1080,1920,"""Chrome"""
50,"""Windows""",700,1120,"""Chrome"""
51,"""Windows""",1080,1920,"""Chrome"""
52,"""Windows""",768,1024,"""Firefox"""
53,"""Mac""",1200,1920,"""Chrome"""
54,"""Windows""",864,1536,"""Firefox"""
55,"""Windows""",800,1280,"""Chrome"""
56,"""Windows""",1080,1920,"""Chrome"""
57,"""Windows""",864,1536,"""Chrome"""
58,"""Windows""",768,1366,"""Chrome"""
59,"""Windows""",900,1600,"""Chrome"""
60,"""Windows""",768,1366,"""Chrome"""
61,"""Windows""",900,1600,"""Chrome"""
62,"""Windows""",768,1366,"""Firefox"""
63,"""Windows""",1080,1920,"""Chrome"""
64,"""Windows""",900,1440,"""Chrome"""
65,"""Mac""",900,1440,"""Chrome"""
66,"""Windows""",768,1360,"""Chrome"""
67,"""Mac""",900,1440,"""Chrome"""
68,"""Windows""",1080,1920,"""Chrome"""
69,"""Windows""",1080,1920,"""Chrome"""
70,"""Windows""",768,1366,"""Chrome"""
71,"""Windows""",768,1366,"""Chrome"""
72,"""Linux""",360,640,"""Chrome"""
73,"""Windows""",900,1600,"""Chrome"""
74,"""Windows""",1080,1920,"""Chrome"""
75,"""Windows""",1080,1920,"""Chrome"""
76,"""Windows""",768,1366,"""Chrome"""
77,"""Windows""",614,1093,"""Chrome"""
78,"""Windows""",1080,1920,"""Chrome"""
79,"""Mac""",900,1440,"""Chrome"""
80,"""Windows""",768,1366,"""Chrome"""
81,"""Windows""",768,1366,"""Chrome"""
82,"""Linux""",600,1024,"""Chrome"""
83,"""Windows""",900,1600,"""Chrome"""
84,"""Windows""",1271,2259,"""Mozilla"""
85,"""Windows""",768,1366,"""Chrome"""
86,"""Windows""",768,1366,"""Chrome"""
87,"""Windows""",1080,1920,"""Chrome"""
88,"""Windows""",768,1366,"""Chrome"""
89,"""Windows""",900,1600,"""Chrome"""
90,"""Windows""",1029,1829,"""Chrome"""
91,"""Windows""",800,1280,"""Chrome"""
92,"""Windows""",900,1600,"""Chrome"""
93,"""Windows""",1080,1920,"""Chrome"""
94,"""Mac""",800,1280,"""Chrome"""
95,"""Windows""",864,1536,"""Chrome"""
96,"""Linux""",732,412,"""Chrome"""
97,"""Windows""",768,1366,"""Firefox"""
98,"""Windows""",704,939,"""Firefox"""
99,"""Windows""",900,1600,"""Chrome"""
100,"""Linux""",768,1024,"""Firefox"""
101,"""Windows""",900,1600,"""Firefox"""
102,"""Windows""",1080,1920,"""Chrome"""
103,"""Windows""",1080,1920,"""Chrome"""
104,"""Windows""",1080,1920,"""Chrome"""
105,"""Windows""",768,1366,"""Chrome"""
106,"""Windows""",900,1600,"""Chrome"""
107,"""Windows""",1080,1920,"""Chrome"""
108,"""Windows""",900,1600,"""Chrome"""
109,"""Linux""",864,1536,"""Chrome"""
110,"""Linux""",640,360,"""Chrome"""
111,"""Windows""",1050,1680,"""Chrome"""
112,"""iPhone/iPod""",667,375,"""Safari"""
113,"""Windows""",768,1366,"""Chrome"""
114,"""Windows""",972,1728,"""Firefox"""
115,"""Windows""",1080,1920,"""Chrome"""
116,"""Windows""",1080,5760,"""Firefox"""
117,"""Mac""",800,1280,"""Chrome"""
118,"""Windows""",768,1366,"""Chrome"""
119,"""Windows""",768,1366,"""Chrome"""
120,"""Windows""",1000,1776,"""Chrome"""
121,"""Windows""",768,1366,"""Chrome"""
122,"""Windows""",768,1366,"""Chrome"""
123,"""Windows""",864,1536,"""Chrome"""
124,"""Windows""",1000,1500,"""Chrome"""
125,"""Linux""",768,1366,"""Chrome"""
126,"""Mac""",900,1440,"""Chrome"""
127,"""Windows""",615,1093,"""Chrome"""
128,"""Windows""",768,1366,"""Chrome"""
129,"""Windows""",768,1366,"""Chrome"""
130,"""Windows""",1080,1920,"""Chrome"""
131,"""Linux""",846,412,"""Chrome"""
132,"""Windows""",900,1440,"""Chrome"""
133,"""Windows""",1080,1920,"""Chrome"""
134,"""Windows""",1080,1920,"""Chrome"""
135,"""Linux""",768,1366,"""Chrome"""
136,"""Mac""",900,1440,"""Chrome"""
137,"""Windows""",792,1408,"""Firefox"""
138,"""Windows""",768,1280,"""Chrome"""
139,"""Mac""",1080,1920,"""Chrome"""
140,"""Windows""",768,1280,"""Chrome"""
141,"""Windows""",1200,1920,"""Chrome"""
142,"""Mac""",1440,2560,"""Safari"""
143,"""Windows""",864,1536,"""Firefox"""
144,"""Windows""",768,1366,"""Firefox"""
145,"""Windows""",768,1366,"""Chrome"""
146,"""Linux""",900,1600,"""Firefox"""
147,"""Windows""",768,1366,"""Chrome"""
148,"""Linux""",768,1366,"""Chrome"""
149,"""Windows""",768,1366,"""Chrome"""
150,"""Windows""",768,1366,"""Chrome"""
151,"""Mac""",800,1280,"""Chrome"""
152,"""Linux""",900,1440,"""Firefox"""
153,"""Windows""",768,1366,"""Chrome"""
154,"""Windows""",1080,1920,"""Chrome"""
155,"""Windows""",1080,1920,"""Chrome"""
156,"""Linux""",640,360,"""Chrome"""
157,"""Windows""",768,1366,"""Chrome"""
158,"""Windows""",720,1280,"""Chrome"""
159,"""Linux""",1080,1920,"""Chrome"""
160,"""Windows""",1080,1920,"""Chrome"""
161,"""Windows""",1080,1920,"""Chrome"""
162,"""Linux""",768,1366,"""Chrome"""
163,"""Windows""",900,1600,"""Chrome"""
164,"""Windows""",768,1366,"""Chrome"""
165,"""Linux""",1080,1920,"""Firefox"""
166,"""Mac""",1440,2560,"""Chrome"""
167,"""Windows""",768,1366,"""Chrome"""
168,"""Windows""",900,1600,"""Chrome"""
169,"""Windows""",1200,1920,"""Chrome"""
170,"""Windows""",1080,1920,"""Chrome"""
171,"""Windows""",900,1600,"""Chrome"""
172,"""Windows""",768,1366,"""Chrome"""
173,"""Windows""",900,1600,"""Chrome"""
174,"""Windows""",1080,1920,"""Chrome"""
175,"""Windows""",768,1360,"""Firefox"""
176,"""Windows""",768,1366,"""Firefox"""
177,"""Windows""",768,1366,"""Chrome"""
178,"""Windows""",1080,1920,"""Firefox"""
179,"""Windows""",1080,1920,"""Firefox"""
180,"""Windows""",900,1600,"""Chrome"""
181,"""Windows""",768,1366,"""Chrome"""
182,"""Windows""",768,1366,"""Firefox"""
183,"""Windows""",768,1366,"""Chrome"""
184,"""Windows""",768,1366,"""Chrome"""
185,"""Windows""",864,1536,"""Chrome"""
186,"""Windows""",1024,1280,"""Chrome"""
187,"""Windows""",768,1366,"""Chrome"""
188,"""Mac""",1200,1920,"""Chrome"""
189,"""Windows""",768,1366,"""Chrome"""
190,"""Mac""",900,1440,"""Chrome"""
191,"""Windows""",864,1536,"""Chrome"""
192,"""Windows""",1600,2560,"""Chrome"""
193,"""Windows""",614,1093,"""Chrome"""
194,"""Windows""",1080,1920,"""Chrome"""
195,"""iPhone/iPod""",568,320,"""Safari"""
196,"""Windows""",768,1366,"""Chrome"""
197,"""Windows""",768,1366,"""Chrome"""
198,"""Windows""",768,1366,"""Chrome"""
199,"""Windows""",864,1536,"""Chrome"""
200,"""Mac""",1080,1920,"""Chrome"""
201,"""Mac""",900,1440,"""Chrome"""
202,"""Windows""",768,1366,"""Chrome"""
203,"""Windows""",1200,1920,"""Chrome"""
204,"""Linux""",640,360,"""Chrome"""
205,"""Windows""",864,1536,"""Chrome"""
206,"""Windows""",720,1280,"""Chrome"""
207,"""Windows""",1080,1920,"""Firefox"""
208,"""Mac""",900,1440,"""Chrome"""
209,"""Windows""",864,1536,"""Chrome"""
210,"""Windows""",1080,1920,"""Firefox"""
211,"""iPhone/iPod""",568,320,"""Safari"""
212,"""Windows""",1080,1920,"""Chrome"""
213,"""Windows""",768,1366,"""Chrome"""
214,"""Windows""",864,1536,"""Chrome"""
215,"""Windows""",720,1280,"""Firefox"""
216,"""Windows""",1080,1920,"""Firefox"""
217,"""Linux""",900,1440,"""Chrome"""
218,"""Windows""",768,1366,"""Chrome"""
219,"""Windows""",1080,1920,"""Chrome"""
220,"""Windows""",768,1366,"""Chrome"""
221,"""Windows""",900,1440,"""Chrome"""
222,"""Windows""",1080,1920,"""Chrome"""
223,"""Linux""",1080,1920,"""Chrome"""
224,"""Windows""",1080,1920,"""Chrome"""
225,"""Windows""",1080,1920,"""Chrome"""
226,"""Windows""",1080,1920,"""Chrome"""
227,"""Mac""",800,1280,"""Chrome"""
228,"""Linux""",768,1024,"""Chrome"""
229,"""Mac""",1050,1680,"""Chrome"""
230,"""Windows""",1080,1920,"""Chrome"""
231,"""Mac""",900,1440,"""Chrome"""
232,"""Windows""",1080,1920,"""Chrome"""
233,"""Linux""",640,360,"""Chrome"""
234,"""Mac""",900,1440,"""Chrome"""
235,"""Windows""",1080,1920,"""Chrome"""
236,"""Windows""",1080,1920,"""Chrome"""
237,"""Mac""",900,1440,"""Chrome"""
238,"""Windows""",768,1280,"""Chrome"""
239,"""Mac""",1080,1920,"""Chrome"""
240,"""Windows""",1080,1920,"""Firefox"""
241,"""Windows""",768,1366,"""Chrome"""
242,"""Mac""",1080,1920,"""Chrome"""
243,"""Windows""",864,1536,"""Chrome"""
244,"""Windows""",1080,1920,"""Chrome"""
245,"""Windows""",720,1280,"""Chrome"""
246,"""Windows""",1080,1920,"""Chrome"""
247,"""Windows""",768,1366,"""Firefox"""
248,"""Windows""",768,1366,"""Chrome"""
249,"""Windows""",1080,1920,"""Chrome"""
250,"""Windows""",1080,1920,"""Chrome"""
251,"""Windows""",1080,1920,"""Chrome"""
252,"""Windows""",768,1366,"""Chrome"""
253,"""Windows""",1680,1050,"""Chrome"""
254,"""Mac""",900,1440,"""Chrome"""
255,"""Windows""",768,1366,"""Firefox"""
256,"""Windows""",768,1366,"""Chrome"""
257,"""Windows""",768,1366,"""Chrome"""
258,"""Windows""",1080,1920,"""Mozilla"""
